source,target,stage,value,win_rate,avg_return
复苏期,小盘成长,Stage1_宏观→策略,0.5238095238095238,0.5238095238095238,
小盘成长,计算机,Stage2_策略→行业,0.5238095238095238,0.5238095238095238,0.015352692556893689
小盘成长,电子,Stage2_策略→行业,0.5714285714285714,0.5714285714285714,0.014065992562809045
小盘成长,通信,Stage2_策略→行业,0.5238095238095238,0.5238095238095238,0.01622448582864946
小盘成长,传媒,Stage2_策略→行业,0.47619047619047616,0.47619047619047616,-0.003102319995322874
复苏期,小盘价值,Stage1_宏观→策略,0.5952380952380952,0.5952380952380952,
小盘价值,机械设备,Stage2_策略→行业,0.5714285714285714,0.5714285714285714,0.011835900595194394
小盘价值,基础化工,Stage2_策略→行业,0.5714285714285714,0.5714285714285714,0.006496945334006935
小盘价值,汽车,Stage2_策略→行业,0.6190476190476191,0.6190476190476191,0.018942286426663523
小盘价值,电力设备,Stage2_策略→行业,0.6190476190476191,0.6190476190476191,0.013064111024675489
复苏期,周期股,Stage1_宏观→策略,0.5,0.5,
周期股,有色金属,Stage2_策略→行业,0.6190476190476191,0.6190476190476191,0.026989368568339042
周期股,煤炭,Stage2_策略→行业,0.5238095238095238,0.5238095238095238,0.0015511549196329452
周期股,钢铁,Stage2_策略→行业,0.47619047619047616,0.47619047619047616,0.013286564462728584
周期股,石油石化,Stage2_策略→行业,0.38095238095238093,0.38095238095238093,0.002202909575858991
衰退期,大盘成长,Stage1_宏观→策略,0.375,0.375,
大盘成长,电子,Stage2_策略→行业,0.3181818181818182,0.3181818181818182,-0.02013450819971548
大盘成长,计算机,Stage2_策略→行业,0.36363636363636365,0.36363636363636365,-0.029288191965822517
大盘成长,医药生物,Stage2_策略→行业,0.36363636363636365,0.36363636363636365,-0.0266952448820754
大盘成长,电力设备,Stage2_策略→行业,0.45454545454545453,0.45454545454545453,-0.024085289980236176
衰退期,政策受益,Stage1_宏观→策略,0.375,0.375,
政策受益,建筑装饰,Stage2_策略→行业,0.36363636363636365,0.36363636363636365,-0.016353836692000162
政策受益,建筑材料,Stage2_策略→行业,0.36363636363636365,0.36363636363636365,-0.018470618590890206
政策受益,房地产,Stage2_策略→行业,0.3181818181818182,0.3181818181818182,-0.02012813257831316
政策受益,机械设备,Stage2_策略→行业,0.45454545454545453,0.45454545454545453,-0.019687082670560248
衰退期,逆周期,Stage1_宏观→策略,0.45454545454545453,0.45454545454545453,
逆周期,医药生物,Stage2_策略→行业,0.36363636363636365,0.36363636363636365,-0.0266952448820754
逆周期,公用事业,Stage2_策略→行业,0.45454545454545453,0.45454545454545453,-0.004444777092295838
逆周期,农林牧渔,Stage2_策略→行业,0.5454545454545454,0.5454545454545454,-0.01077492513664356
过渡期,均衡配置,Stage1_宏观→策略,0.44,0.44,
均衡配置,银行,Stage2_策略→行业,0.6,0.6,-0.0013418325394980405
均衡配置,食品饮料,Stage2_策略→行业,0.4,0.4,-0.041758691977383064
均衡配置,医药生物,Stage2_策略→行业,0.4,0.4,-0.027511903243817443
均衡配置,电力设备,Stage2_策略→行业,0.4,0.4,-0.05278422518749244
均衡配置,电子,Stage2_策略→行业,0.4,0.4,-0.06617916988296088
过渡期,质量优先,Stage1_宏观→策略,0.3333333333333333,0.3333333333333333,
质量优先,食品饮料,Stage2_策略→行业,0.4,0.4,-0.041758691977383064
质量优先,医药生物,Stage2_策略→行业,0.4,0.4,-0.027511903243817443
质量优先,家用电器,Stage2_策略→行业,0.2,0.2,-0.04169194648416978
过渡期,灵活配置,Stage1_宏观→策略,0.4,0.4,
灵活配置,银行,Stage2_策略→行业,0.6,0.6,-0.0013418325394980405
灵活配置,非银金融,Stage2_策略→行业,0.2,0.2,-0.03978983083931634
灵活配置,电子,Stage2_策略→行业,0.4,0.4,-0.06617916988296088
灵活配置,电力设备,Stage2_策略→行业,0.4,0.4,-0.05278422518749244
