month,inc_month,inc_cumval,stk_endval
202201,61759.0,61759.0,320.03
202202,12170.0,73929.0,321.12
202204,9327.0,129821.0,326.47
202205,28415.0,158236.0,329.2
202206,51926.0,210162.0,334.28
202207,7785.0,217947.0,334.9
202208,24712.0,242659.0,337.22
202209,35411.0,278070.0,340.65
202210,9134.0,287204.0,341.42
202211,19837.0,307041.0,343.19
202212,13063.0,320104.0,344.21
202301,59956.0,59956.0,350.93
202302,31610.0,91566.0,353.97
202303,53867.0,145433.0,359.02
202304,12249.0,157682.0,359.95
202305,15560.0,173242.0,361.42
202306,42265.0,215507.0,365.45
202307,5366.0,220873.0,365.77
202308,31279.0,252152.0,368.61
202309,41326.0,293478.0,372.5
202310,18441.0,311919.0,374.17
202311,24554.0,336473.0,376.39
202312,19326.0,355799.0,378.08
202401,64734.0,64734.0,384.32
202402,14959.0,79693.0,385.71
202403,48335.0,128028.0,390.32
202404,-658.0,127370.0,389.93
202405,20623.0,147993.0,391.93
202406,32985.0,180978.0,395.1
202407,7707.0,188685.0,395.72
202408,30323.0,219008.0,398.56
202409,37635.0,256643.0,402.19
202410,14120.0,270763.0,403.45
202411,23288.0,294051.0,405.6
202412,28537.0,322558.0,408.34
202502,22331.0,92877.0,417.29
202503,58961.0,151838.0,422.97
202504,11599.0,163437.0,424.0
202505,22899.0,186336.0,426.16
202506,42251.0,228588.0,430.24
202507,11307.0,239895.0,431.25
202508,25660.0,265555.0,433.65
202509,35299.0,300854.0,437.08
202510,8178.0,309032.0,437.71
202511,24926.0,333958.0,440.07
202512,22075.0,356033.0,442.12
